Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,9158,h997,2024-02-05,Cordoba,250,Argentina,59,50,16995,28,Clay,562345
2024,580,h997,2024-01-15,Australian Open,GS,Australia,52,10,80220,128,Hard,38923200
2024,8998,h997,2024-01-08,Adelaide,250,Australia,49,0,7095,28,Hard,661585
2024,339,h997,2024-01-01,Brisbane,250,Australia,51,25,10655,32,Hard,661585
2024,4787,l987,2024-11-04,Belgrade,250,Serbia,86,25,14266,28,Hard,750000
2024,352,l987,2024-10-28,ATP Masters 1000 Paris,1000,France,72,0,6887,56,Hard,5950575
2024,337,l987,2024-10-21,Vienna,500,Austria,74,0,6020,32,Hard,2470310
2024,4801,l987,2024-09-09,G1 SRB vs GRE,DC,Serbia,65,0,0,4,Hard,0
2024,560,l987,2024-08-26,US Open,GS,"NY, U.S.A.",66,10,100000,128,Hard,33977000
2024,422,l987,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",54,0,7290,56,Hard,6795555
2024,96,l987,2024-07-29,Paris Olympics,OL,France,52,0,0,64,Clay,0
2024,439,l987,2024-07-22,Umag,250,Croatia,53,50,19051,28,Clay,579320
2024,414,l987,2024-07-15,Hamburg,500,Germany,55,50,29978,32,Clay,1891995
2024,540,l987,2024-07-01,Wimbledon,GS,Great Britain,56,10,75870,128,Grass,20747000
2024,520,l987,2024-05-27,Roland Garros,GS,France,61,50,119559,128,Clay,24961000
2024,416,l987,2024-05-06,ATP Masters 1000 Rome,1000,Italy,64,30,32560,96,Clay,7877020
2024,1536,l987,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,65,10,21696,96,Clay,7877020
2024,425,l987,2024-04-15,Barcelona,500,Spain,59,200,143787,48,Clay,2782960
2024,410,l987,2024-04-08,ATP Masters 1000 Monte-Carlo,1000,Monaco,56,0,6913,56,Clay,5950575
2024,403,l987,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",52,10,23250,96,Hard,8995555
2024,404,l987,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",56,30,42000,96,Hard,9495555
2024,807,l987,2024-02-26,Acapulco,500,Mexico,55,50,32265,32,Hard,2206080
2024,6932,l987,2024-02-19,Rio de Janeiro,500,Brazil,58,100,57540,32,Clay,2100230
2024,506,l987,2024-02-12,Buenos Aires,250,Argentina,58,50,19425,28,Clay,642615
2024,4490,l987,2024-01-29,SRB vs SLO Qualifier,DC,Serbia,53,0,0,4,Clay,0
2024,580,l987,2024-01-15,Australian Open,GS,Australia,51,10,80220,128,Hard,38923200
2024,8998,l987,2024-01-08,Adelaide,250,Australia,52,25,11610,28,Hard,661585
2024,7339,w09g,2024-10-07,Fairfield,CH,"CA, U.S.A.",171,0,800,32,Hard,82000
2024,1768,w09g,2024-09-30,Tiburon,CH,"CA, U.S.A.",171,12,2270,32,Hard,82000
2024,2803,w09g,2024-09-23,Charleston,CH,"SC, U.S.A.",169,12,2270,32,Hard,82000
2024,8281,w09g,2024-09-16,Columbus,CH,"OH, U.S.A.",170,0,800,32,Hard,82000
2024,560,w09g,2024-08-26,US Open,GS,"NY, U.S.A.",165,8,38000,128,Hard,33977000
2024,422,w09g,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",164,0,7290,56,Hard,6795555
2024,418,w09g,2024-07-29,Washington,500,"DC, U.S.A.",143,25,15360,48,Hard,2100230
2024,6116,w09g,2024-07-22,Atlanta,250,"GA, U.S.A.",120,7,4055,28,Hard,756020
2024,7542,w09g,2024-07-08,Winnipeg,CH,Canada,115,6,1350,32,Hard,82000
2024,2883,w09g,2024-07-01,Bloomfield Hills,CH,"MI, U.S.A.",115,12,2270,32,Hard,82000
2024,520,w09g,2024-05-27,Roland Garros,GS,France,107,26,79344,128,Clay,24961000
2024,2863,w09g,2024-05-13,Turin,CH,Italy,101,25,6613,28,Clay,205000
2024,416,w09g,2024-05-06,ATP Masters 1000 Rome,1000,Italy,101,20,12721,96,Clay,7877020
2024,5067,w09g,2024-04-22,Savannah,CH,"GA, U.S.A.",102,0,800,32,Clay,82000
