,playercode,EventId,TotPrizeMoney,Same_Nationality,iscritto,ha_pts_def,EventType_500,Surface_Grass,Surface_Hard
134,bd06,8994,596035,1,1,1,0,1,0
135,bd06,741,756875,0,0,1,0,1,0
136,bd06,311,2522220,0,1,1,1,1,0
137,bd06,500,2522220,0,0,1,1,1,0
138,bd06,414,2158560,0,1,1,1,0,0
139,bd06,322,596035,0,0,1,0,0,0
140,bd06,308,2500000,0,1,1,1,0,0
141,bd06,425,2889200,0,0,1,1,0,0
142,bd06,495,3237670,0,1,0,1,0,1
143,bd06,807,2585410,0,0,0,1,0,1
144,bd06,8996,680140,0,0,0,0,0,0
145,bd06,451,2760000,0,1,0,1,0,1
146,bd06,6932,2396115,0,0,0,1,0,0
147,bd06,496,740730,0,0,1,0,0,1
148,bd06,499,680140,0,0,1,0,0,1
149,bd06,506,658390,0,0,1,0,0,0
150,bd06,8998,680140,0,1,1,0,0,1
151,bd06,301,680140,0,0,1,0,0,1
152,f724,341,596035,0,0,0,0,0,1
153,f724,5100,766715,0,0,0,0,0,1
154,f724,328,2523045,0,0,1,1,0,1
155,f724,337,2736875,0,0,1,1,0,1
156,f724,6242,798335,0,1,1,0,0,1
157,f724,495,3237670,0,1,1,1,0,1
158,f724,807,2585410,0,0,1,1,0,1
159,f724,8996,680140,0,0,1,0,0,0
160,f724,451,2760000,0,0,1,1,0,1
161,f724,6932,2396115,0,0,1,1,0,0
162,f724,407,2401550,0,0,0,1,0,1
163,f724,424,2760000,0,0,0,1,0,1
164,f724,8998,680140,0,0,0,0,0,1
165,f724,301,680140,0,0,0,0,0,1
166,v832,328,2523045,0,0,1,1,0,1
167,v832,337,2736875,0,1,1,1,0,1
168,v832,747,4016050,0,0,1,1,0,1
169,v832,329,2226470,0,1,1,1,0,1
170,v832,6242,798335,0,1,1,0,0,1
171,v832,319,596035,0,0,1,0,0,0
172,v832,418,2396115,0,1,1,1,0,1
173,v832,439,596035,0,0,1,0,0,0
174,v832,8994,596035,0,0,0,0,1,0
175,v832,741,756875,0,1,0,0,1,0
176,v832,311,2522220,0,1,1,1,1,0
177,v832,500,2522220,0,0,1,1,1,0
178,v832,440,706850,0,1,1,0,1,0
179,v832,321,751630,0,0,1,0,1,0
180,v832,308,2500000,0,1,1,1,0,0
181,v832,425,2889200,0,0,1,1,0,0
182,v832,495,3237670,0,0,1,1,0,1
183,v832,807,2585410,0,1,1,1,0,1
184,v832,8996,680140,0,0,1,0,0,0
185,v832,451,2760000,0,0,0,1,0,1
186,v832,6932,2396115,0,0,0,1,0,0
187,v832,8998,680140,1,1,0,0,0,1
188,v832,301,680140,0,0,0,0,0,1
189,cf59,341,596035,0,0,1,0,0,1
190,cf59,5100,766715,0,0,1,0,0,1
191,cf59,328,2523045,0,0,1,1,0,1
192,cf59,337,2736875,0,0,1,1,0,1
193,cf59,747,4016050,0,0,1,1,0,1
194,cf59,329,2226470,0,0,1,1,0,1
195,cf59,319,596035,0,0,1,0,0,0
196,cf59,418,2396115,0,0,1,1,0,1
197,cf59,439,596035,0,1,1,0,0,0
198,cf59,314,596035,0,1,1,0,0,0
199,cf59,7480,889890,0,0,1,0,0,1
200,cf59,316,596035,0,0,1,0,0,0
201,cf59,414,2158560,0,0,0,1,0,0
202,cf59,322,596035,0,0,0,0,0,0
203,cf59,495,3237670,0,0,0,1,0,1
204,cf59,807,2585410,0,1,0,1,0,1
205,cf59,8996,680140,0,0,0,0,0,0
206,cf59,451,2760000,0,0,0,1,0,1
207,cf59,6932,2396115,0,1,0,1,0,0
208,cf59,496,740730,0,0,1,0,0,1
209,cf59,499,680140,0,0,1,0,0,1
210,cf59,506,658390,0,1,1,0,0,0
211,m0ci,341,596035,0,0,0,0,0,1
212,m0ci,5100,766715,0,0,0,0,0,1
213,m0ci,328,2523045,0,0,0,1,0,1
214,m0ci,337,2736875,0,0,0,1,0,1
