Player Id,Player Name,Nationality
mv14,A. Molcan,svk
mw02,C. Moutet,fra
mc65,G. Monfils,fra
gb88,D. Goffin,bel
kb05,F. Krajinovic,srb
f510,F. Fognini,ita
hh06,M. Huesler,sui
cg04,P. Cachin,arg
mu94,J. Munar,esp
kc56,A. Karatsev,rus
bm95,B. Bonzi,fra
gc88,M. Giron,usa
mo44,P. Martinez,esp
mk66,M. McDonald,usa
hb64,Q. Halys,fra
lb66,C. Lestienne,fra
w09g,J. Wolf,usa
ge33,D. Galan,col
g628,R. Gasquet,fra
y268,M. Ymer,swe
db63,L. Djere,srb
mj08,T. Monteiro,bra
z419,B. Zapata Miralles,esp
i305,I. Ivashka,blr
cf59,R. Carballes Baena,esp
ce77,F. Coria,arg
o449,O. Otte,ger
mq75,K. Majchrzak,pol
o483,C. O'Connell,aus
ea24,T. Etcheverry,arg
l987,D. Lajovic,srb
l0bv,J. Lehecka,cze
sh90,J. Sousa,por
kf17,S. Kwon,kor
tc61,J. Thompson,aus
gd64,C. Garin,chi
hh26,U. Humbert,fra
f724,M. Fucsovics,hun
sx50,R. Safiullin,rus
bf23,F. Bagnis,arg
bk24,G. Barrere,fra
bg23,N. Basilashvili,geo
da81,T. Daniel,jpn
kd46,T. Kokkinakis,aus
ae14,D. Altmaier,ger
gj37,T. Griekspoor,ned
s0s1,B. Shelton,usa
m0fh,T. Machac,cze
pd07,V. Pospisil,can
z371,Z. Zhang,chn
te30,A. Tabilo,chi
cf01,M. Cecchinato,ita
tb69,D. Thiem,aut
a829,R. Albot,mda
ga36,E. Gomez,ecu
v836,J. Varillas,per
kb09,D. Kudla,usa
kb95,J. Kubler,aus
g09o,H. Gaston,fra
v708,J. Vesely,cze
j386,S. Johnson,usa
v942,T. van Rijthoven,ned
bt72,N. Borges,por
mp01,M. Mmoh,usa
gb93,N. Gombos,svk
t0ap,C. Tseng,tpe
wb32,Y. Wu,chn
k09f,P. Kotov,rus
s0la,D. Stricker,sui
p0ct,F. Passaro,ita
p09z,A. Popyrin,aus
a596,P. Andujar,esp
r09x,J. Rodionov,aut
e865,C. Eubanks,usa
v306,F. Verdasco,esp
d874,F. Delbonis,arg
u182,C. Ugo Carabelli,arg
y218,E. Ymer,swe
h997,Y. Hanfmann,ger
bu13,Z. Bergs,bel
v832,A. Vukic,aus
sm25,J. Sock,usa
da31,H. Dellien,bol
so20,J. Sels,ned
a0fc,M. Arnaldi,ita
n0bg,L. Nardi,ita
ki63,L. Klein,svk
kc04,J. Kovalik,svk
aa27,F. Agamenone,ita
v0dz,L. Van Assche,fra
ki82,V. Kopriva,cze
gf95,H. Grenier,fra
s0gr,T. Skatov,kaz
sd32,G. Simon,fra
gh92,B. Gojo,cro
wb08,Y. Watanuki,jpn
gh33,M. Guinard,fra
mh30,J. Millman,aus
w367,S. Wawrinka,sui
m0jz,F. Misolic,aut
sl28,J. Struff,ger
c0c8,J. Cerundolo,arg
j551,N. Jarry,chi
b0gg,M. Bellucci,ita
s0h2,A. Shevchenko,kaz
d994,J. Duckworth,aus
bo10,G. Brouwer,ned
r0fs,L. Riedi,sui
k0az,A. Kovacevic,usa
mn13,M. Marterer,ger
mp20,A. Muller,fra
z0a1,G. Zeppieri,ita
p09o,Z. Piros,hun
bi23,L. Broady,gbr
h0bh,R. Hijikata,aus
te16,C. Taberner,esp
mw75,F. Meligeni Alves,bra
ph78,R. Peniston,gbr
be90,R. Berankis,ltu
rc04,A. Ritschard,sui
bu54,G. Blancaneaux,fra
c0e9,F. Cobolli,ita
l949,H. Laaksonen,sui
m0ci,F. Marozsan,hun
cg94,E. Couacaud,fra
v0am,O. Virtanen,fin
mj98,F. Mena,arg
fa43,J. Ficovich,arg
n0am,E. Nava,usa
pd31,B. Paire,fra
db59,D. Novak,aut
ph64,A. Pellegrino,ita
o376,R. Olivo,arg
bp41,A. Bellier,sui
w857,T. Wu,tpe
k0dp,O. Krutykh,ukr
d923,D. Dzumhur,bih
bi47,R. Bonadio,ita
k926,M. Kukushkin,kaz
a0ab,A. Andreev,bul
rh59,S. Rodriguez Taverna,arg
d0cg,F. Diaz Acosta,arg
s0re,J. Shang,chn
o513,S. Ofner,aut
bv24,R. Brancaccio,ita
kc29,N. Kicker,arg
kc33,D. Kuzmanov,bul
u120,K. Uchida,jpn
ke64,S. Kozlov,usa
ke73,D. Koepfer,ger
m0if,F. Maestrelli,ita
sn54,F. Ferreira Silva,por
h0a4,N. Hardt,dom
sk94,C. Stebe,ger
lc12,L. Lokoli,fra
e768,A. Escoffier,fra
d0fj,L. Darderi,ita
gk06,A. Galarneau,can
n09u,R. Noguchi,jpn
fc26,E. Furness,fra
tc01,L. Tu,aus
p0df,M. Pucinelli De Almeida,bra
ml57,G. Mager,ita
va08,A. Vavassori,ita
kc12,M. Krueger,usa
mw18,N. Moreno De Alboran,usa
r685,L. Rosol,cze
h09p,B. Holt,usa
cg33,K. Coppejans,bel
j0a4,P. Jubb,gbr
ph71,M. Purcell,aus
h09f,Y. Hsu,tpe
s0gd,D. Svrcina,cze
ta29,M. Trungelliti,arg
o660,G. Olivieri,arg
t0a1,T. Tirante,arg
e873,E. Escobedo,mex
d0f6,G. Diallo,can
j553,O. Jasika,aus
i0a7,N. Ionel,rou
bs86,T. Barrios Vera,chi
mm66,N. Milojevic,srb
e698,G. Elias,por
z246,M. Zekic,srb
sp80,N. Serdarusic,cro
g967,P. Gojowczyk,ger
ch05,A. Celikbilek,tur
hg86,L. Harris,rsa
b0fv,R. Burruchaga,arg
ml73,S. Mansouri,tun
ci14,J. Clarke,gbr
f840,N. Fatic,bih
ge28,I. Gakhov,rus
n0bs,M. Navone,arg
ld22,N. Ly,vie
z09d,K. Zuk,pol
cc66,A. Collarini,arg
kh56,Z. Kolar,cze
ch12,J. Choinski,gbr
s0ia,D. Sweeny,aus
g0gd,M. Gigante,ita
f0f1,A. Fils,fra
hc21,S. Hong,kor
t0dm,J. Torres,arg
