Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,8310,mv14,,Helsinki,CH,Finland,438,,401,32,Hard,148625
2024,2893,mv14,,Olbia,CH,Italy,323,,370,32,Hard,148625
2024,2823,mv14,,Valencia,CH,Spain,329,,730,32,Clay,148625
2024,7742,mv14,,Lisbon,CH,Portugal,330,,335,32,Clay,120950
2024,3473,mv14,,Como,CH,Italy,344,,3990,32,Clay,74825
2024,9003,mv14,,Bratislava 1,CH,Slovakia,249,,1296,32,Clay,120950
2024,558,mv14,,Prostejov,CH,Czech Republic,212,,1302,32,Clay,120950
2024,520,mv14,,Roland Garros,GS,France,212,,21738,128,Clay,24961000
2024,600,mv14,,Prague 2,CH,Czechia,210,,3837,32,Clay,74825
2024,8388,mv14,,Split,CH,Croatia,157,,807,32,Clay,74825
2024,9167,mv14,,Phoenix,CH,"AZ, U.S.A.",130,,560,32,Hard,225500
2024,404,mv14,,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",130,,14400,96,Hard,9495555
2024,8996,mv14,,Santiago,250,Chile,135,,7095,28,Clay,661585
2024,6932,mv14,,Rio de Janeiro,500,Brazil,127,,4710,32,Clay,2100230
2024,506,mv14,,Buenos Aires,250,Argentina,122,,1880,28,Clay,642615
2024,4490,mv14,,SRB vs SLO Qualifier,DC,Serbia,122,,0,4,Clay,0
2024,580,mv14,,Australian Open,GS,Australia,116,,43622,128,Hard,38923200
2024,7393,mv14,,Canberra,CH,Australia,119,,1610,32,Hard,164000
2024,341,mw02,,Metz,250,France,66,,32746,28,Hard,579320
2024,352,mw02,,ATP Masters 1000 Paris,1000,France,70,,25676,56,Hard,5950575
2024,337,mw02,,Vienna,500,Austria,70,,6020,32,Hard,2470310
2024,429,mw02,,Stockholm,250,Sweden,71,,8092,28,Hard,690135
2024,5014,mw02,,ATP Masters 1000 Shanghai,1000,China,72,,23250,96,Hard,8995555
2024,747,mw02,,Beijing,500,China,70,,14870,32,Hard,3720165
2024,4713,mw02,,Hangzhou,250,China,69,,10730,28,Hard,1000630
2024,560,mw02,,US Open,GS,"NY, U.S.A.",69,,100000,128,Hard,33977000
2024,6242,mw02,,Winston-Salem,250,"NC, U.S.A.",68,,6840,48,Hard,779780
2024,422,mw02,,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",71,,27165,56,Hard,6795555
2024,96,mw02,,Paris Olympics,OL,France,69,,0,64,Clay,0
2024,500,mw02,,Halle,500,Germany,55,,9645,32,Grass,2255655
2024,520,mw02,,Roland Garros,GS,France,79,,271725,128,Clay,24961000
2024,2863,mw02,,Turin,CH,Italy,83,,2348,28,Clay,205000
2024,416,mw02,,ATP Masters 1000 Rome,1000,Italy,83,,23370,96,Clay,7877020
2024,1536,mw02,,ATP Masters 1000 Madrid,1000,Spain,88,,21696,96,Clay,7877020
2024,4462,mw02,,Bucharest,250,Romania,92,,18632,28,Clay,579320
2024,410,mw02,,ATP Masters 1000 Monte-Carlo,1000,Monaco,101,,25771,56,Clay,5950575
2024,360,mw02,,Marrakech,250,Morocco,99,,6707,28,Clay,579320
2024,2911,mw02,,Naples,CH,Italy,107,,7646,32,Clay,148625
2024,9472,mw02,,Zadar,CH,Croatia,107,,811,32,Clay,74825
2024,8996,mw02,,Santiago,250,Chile,140,,34510,28,Clay,661585
2024,6932,mw02,,Rio de Janeiro,500,Brazil,147,,16380,32,Clay,2100230
2024,506,mw02,,Buenos Aires,250,Argentina,145,,1880,28,Clay,642615
2024,9158,mw02,,Cordoba,250,Argentina,146,,1645,28,Clay,562345
2024,337,mc65,,Vienna,500,Austria,52,,39259,32,Hard,2470310
2024,5014,mc65,,ATP Masters 1000 Shanghai,1000,China,46,,101000,96,Hard,8995555
2024,747,mc65,,Beijing,500,China,46,,29015,32,Hard,3720165
2024,560,mc65,,US Open,GS,"NY, U.S.A.",45,,140000,128,Hard,33977000
2024,422,mc65,,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",46,,91435,56,Hard,6795555
2024,421,mc65,,ATP Masters 1000 Canada,1000,Canada,34,,27165,56,Hard,6795555
2024,96,mc65,,Paris Olympics,OL,France,31,,0,64,Clay,0
2024,540,mc65,,Wimbledon,GS,Great Britain,33,,180824,128,Grass,20747000
2024,8994,mc65,,Mallorca,250,Spain,40,,51985,28,Grass,932135
2024,520,mc65,,Roland Garros,GS,France,37,,119559,128,Clay,24961000
2024,416,mc65,,ATP Masters 1000 Rome,1000,Italy,38,,21911,96,Clay,7877020
2024,1536,mc65,,ATP Masters 1000 Madrid,1000,Spain,40,,21696,96,Clay,7877020
2024,410,mc65,,ATP Masters 1000 Monte-Carlo,1000,Monaco,40,,46520,56,Clay,5950575
2024,7290,mc65,,Estoril,250,Portugal,45,,10969,28,Clay,579320
2024,403,mc65,,ATP Masters 1000 Miami,1000,"FL, U.S.A.",47,,59100,96,Hard,8995555
2024,404,mc65,,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",54,,101000,96,Hard,9495555
2024,495,mc65,,Dubai,500,U.A.E.,54,,22945,32,Hard,2941785
2024,451,mc65,,Doha,250,Qatar,68,,72810,28,Hard,1395875
2024,407,mc65,,Rotterdam,500,Netherlands,70,,33673,32,Hard,2134985
