Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2025,5100,mv14,,Athens,250,Greece,199,,4759,28,Hard,766715
2025,444,mv14,,Bratislava 2,CH,Slovakia,199,,2197,32,Hard,181250
2025,2893,mv14,,Olbia,CH,Italy,205,,3549,32,Hard,181250
2025,9552,mv14,,Saint-Tropez,CH,France,203,,3584,32,Hard,181250
2025,5132,mv14,,G1 SVK vs COL,DC,Slovak Republic,201,,0,4,Hard,0
2025,7083,mv14,,Istanbul,CH,Turkiye,257,,14200,32,Hard,100000
2025,2945,mv14,,Sofia 2,CH,Bulgaria,362,,15189,32,Clay,91250
2025,2935,mv14,,Bonn,CH,Germany,362,,510,32,Clay,91250
2025,6795,mv14,,Liberec,CH,Czech Republic,378,,1115,32,Clay,91250
2025,221,mv14,,Tampere,CH,Finland,384,,1104,32,Clay,91250
2025,526,mv14,,Braunschweig,CH,Germany,480,,10613,32,Clay,181250
2025,9835,mv14,,Sassuolo,CH,Italy,485,,502,32,Clay,181250
2025,9003,mv14,,Bratislava,CH,Slovakia,486,,1726,32,Clay,145250
2025,4712,mv14,,M25 Bol,FU,Croatia,491,,905,32,Clay,30000
2025,4675,mv14,,M25 Reggio Emilia,FU,Italy,505,,4612,32,Clay,30000
2025,4651,mv14,,M15 Antalya,FU,Turkiye,642,,2160,32,Clay,20000
2025,4640,mv14,,M15 Antalya,FU,Turkiye,644,,2160,32,Clay,20000
2025,2987,mv14,,Menorca,CH,Spain,646,,350,32,Clay,145250
2025,4605,mv14,,M25 Tarragona,FU,Spain,645,,495,32,Clay,30000
2025,9472,mv14,,Zadar,CH,Croatia,645,,239,32,Clay,91250
2025,4561,mv14,,M25 Quinta do Lago,FU,Portugal,590,,319,32,Hard,30000
2025,901,mw02,,Davis Cup Finals,DC,Italy,35,,0,128,Hard,0
2025,341,mw02,,Metz,250,France,31,,7390,28,Hard,596035
2025,352,mw02,,ATP Masters 1000 Paris,1000,France,32,,51410,56,Hard,6128940
2025,337,mw02,,Vienna,500,Austria,36,,87359,32,Hard,2736875
2025,9410,mw02,,Almaty,250,Kazakhstan,41,,93635,28,Hard,1055255
