Player Id,Player Name,Nationality
w09g,J. Wolf,usa
b0jj,R. Bertrand,fra
ga79,L. Giustino,ita
d0l3,M. Dodig,cro
kb09,D. Kudla,usa
g0dh,A. Guillen Meza,ecu
ci14,J. Clarke,gbr
j0az,K. Jacquet,fra
r0ed,M. Rehberg,ger
m0nb,A. Mayo,usa
z419,B. Zapata Miralles,esp
v0di,S. Vincent Ruggeri,ita
dg80,E. Dalla Valle,ita
r0fp,D. Rincon,esp
bv21,C. Broom,gbr
sx90,F. Sun,chn
rh59,S. Rodriguez Taverna,arg
bu54,G. Blancaneaux,fra
t0dm,J. Torres,arg
d0ar,M. Alves,bra
m0ac,R. Molleker,ger
bu70,R. Bertola,sui
l0cx,P. Llamas Ruiz,esp
ki48,E. Kirkin,tur
cg04,P. Cachin,arg
va08,A. Vavassori,ita
p0iy,J. Prado Angelo,bol
e0ac,M. Erhard,fra
k966,M. Klizan,svk
s0ti,P. Sekulic,aus
j620,M. Janvier,fra
p0gq,M. Poljicak,cro
df92,C. Denolly,fra
m0n7,D. Merida,esp
gg65,M. Geerts,bel
s0la,D. Stricker,sui
r0e0,C. Rodesch,lux
p0df,M. Pucinelli De Almeida,bra
n771,C. Norrie,gbr
n09u,R. Noguchi,jpn
c0aj,J. Cui,chn
dc76,V. Durasovic,nor
so20,J. Sels,ned
z371,Z. Zhang,chn
g0gw,S. Gueymard Wayenburg,fra
c0ht,M. Cassone,usa
s0cg,C. Sanchez Jover,esp
be90,R. Berankis,ltu
sn54,F. Ferreira Silva,por
s0ze,C. Smith,usa
ea27,B. Ellis,aus
d0fj,L. Darderi,ita
b0er,A. Bouquier,fra
y218,E. Ymer,swe
o0be,O. Ovcharenko,ukr
gj37,T. Griekspoor,ned
gc88,M. Giron,usa
m0jz,F. Misolic,aut
s0mn,M. Sharipov,rus
mp01,M. Mmoh,usa
g0ix,A. Gea,fra
m0on,J. Monday,gbr
bk92,A. Bublik,kaz
m0ni,J. Mensik,cze
n0bs,M. Navone,arg
s0o6,I. Simakin,rus
b0u4,N. Budkov Kjaer,nor
p0j1,R. Pacheco Mendez,mex
wb08,Y. Watanuki,jpn
d0h9,G. Den Ouden,ned
h0cx,M. Houkes,ned
kc33,D. Kuzmanov,bul
z09f,P. Zahraj,ger
n731,C. Negritu,ger
j551,N. Jarry,chi
s0uv,R. Sakamoto,jpn
cg33,K. Coppejans,bel
c0ak,O. Crawford,gbr
p0ay,L. Pavlovic,fra
mo44,P. Martinez,esp
b0cd,J. Brooksby,usa
sl28,J. Struff,ger
ss25,V. Sachko,ukr
ge28,I. Gakhov,rus
ea24,T. Etcheverry,arg
m0n1,L. Mikrut,cro
kb95,J. Kubler,aus
gh92,B. Gojo,cro
c0hb,E. Coulibaly,civ
o660,G. Olivieri,arg
p0ea,S. Purtseladze,geo
s0gz,N. Sanchez Izquierdo,esp
te30,A. Tabilo,chi
p0hw,D. Prizmic,cro
ph78,R. Peniston,gbr
v717,A. Vatutin,rus
f840,N. Fatic,bih
t09x,C. Tabur,fra
e0dd,J. Engel,ger
c0nb,F. Cina,ita
wb32,Y. Wu,chn
t0fi,M. Topo,ger
z0cq,Y. Zhou,chn
l0cf,G. Loffhagen,gbr
r0a7,J. Reis Da Silva,bra
p0ht,J. Pinnington Jones,gbr
m0oh,L. Midon,arg
b0gy,A. Barrena,arg
m0e1,D. Michalski,pol
cf01,M. Cecchinato,ita
p0k4,T. Pereira,por
a09u,N. Alvarez Varona,esp
b0lw,M. Brunold,sui
bk40,M. Berrettini,ita
gb93,N. Gombos,svk
m0np,A. Martin,usa
s0bt,A. Soriano Barrera,col
p0d0,J. Paul,sui
b0ou,H. Barton,cze
tc61,J. Thompson,aus
ea13,M. Echargui,tun
