Player Id,Player Name,Nationality
v812,B. van de Zandschulp,ned
h997,Y. Hanfmann,ger
l987,D. Lajovic,srb
w09g,J. Wolf,usa
ki95,M. Kecmanovic,srb
tc61,J. Thompson,aus
ae14,D. Altmaier,ger
bd06,R. Bautista Agut,esp
z371,Z. Zhang,chn
f724,M. Fucsovics,hun
gc88,M. Giron,usa
d0co,J. Draper,gbr
v832,A. Vukic,aus
cf59,R. Carballes Baena,esp
m0ci,F. Marozsan,hun
kd46,T. Kokkinakis,aus
bt72,N. Borges,por
k09f,P. Kotov,rus
o483,C. O'Connell,aus
rh24,E. Ruusuvuori,fin
cg04,P. Cachin,arg
h0bh,R. Hijikata,aus
gh92,B. Gojo,cro
bm95,B. Bonzi,fra
mc65,G. Monfils,fra
da81,T. Daniel,jpn
g628,R. Gasquet,fra
ke73,D. Koepfer,ger
m0fh,T. Machac,cze
sx91,T. Seyboth Wild,bra
z419,B. Zapata Miralles,esp
mp20,A. Muller,fra
gd64,C. Garin,chi
v836,J. Varillas,per
bk24,G. Barrere,fra
te30,A. Tabilo,chi
mu94,J. Munar,esp
lb66,C. Lestienne,fra
ce77,F. Coria,arg
r772,A. Ramos-Vinolas,esp
v0dz,L. Van Assche,fra
mn13,M. Marterer,ger
bk40,M. Berrettini,ita
ge33,D. Galan,col
s0la,D. Stricker,sui
d0cg,F. Diaz Acosta,arg
rc91,A. Rinderknech,fra
m0qi,A. Michelsen,usa
tb69,D. Thiem,aut
wb08,Y. Watanuki,jpn
hb64,Q. Halys,fra
c0e9,F. Cobolli,ita
kb95,J. Kubler,aus
bs86,T. Barrios Vera,chi
g09o,H. Gaston,fra
mp01,M. Mmoh,usa
mo44,P. Martinez,esp
f510,F. Fognini,ita
bi23,L. Broady,gbr
su55,D. Shapovalov,can
k0az,A. Kovacevic,usa
gb88,D. Goffin,bel
da31,H. Dellien,bol
m0jf,H. Medjedovic,srb
sm37,D. Schwartzman,arg
r09x,J. Rodionov,aut
d994,J. Duckworth,aus
pd31,B. Paire,fra
n0bg,L. Nardi,ita
mv14,A. Molcan,svk
