"playercode","EventId","EventType","Surface","TotPrizeMoney","Same_Nationality","iscritto","ha_pts_def"
mc65,4462,"250",Clay,579320,0,0,0
mc65,7480,"250",Hard,915245,0,0,0
mc65,499,"250",Hard,661585,0,0,0
mc65,311,"500",Grass,2255655,0,0,0
mc65,424,"250",Hard,756020,0,0,0
mc65,341,"250",Hard,579320,0,0,0
mc65,496,"250",Hard,724015,0,0,0
mc65,9410,"250",Hard,1036700,0,0,0
mc65,4713,"250",Hard,1000630,0,0,0
mc65,315,"250",Grass,661585,0,0,0
mc65,7694,"250",Clay,579320,0,1,0
mc65,360,"250",Clay,579320,0,0,0
mc65,316,"250",Clay,579320,0,0,0
mc65,375,"250",Hard,579320,0,0,0
gb88,328,"500",Hard,2385100,0,0,0
gb88,7485,"250",Hard,690135,1,1,0
gb88,329,"500",Hard,1818380,0,0,0
gb88,6242,"250",Hard,779780,0,0,0
gb88,314,"250",Clay,579320,0,0,0
gb88,440,"250",Grass,690135,0,1,0
gb88,308,"250",Clay,579320,0,0,0
gb88,7290,"250",Clay,579320,0,0,0
gb88,495,"500",Hard,2941785,0,0,0
gb88,451,"250",Hard,1395875,0,0,0
gb88,407,"500",Hard,2134985,0,1,0
gb88,301,"250",Hard,661585,0,1,0
gb88,336,"250",Hard,661585,0,0,0
gb88,4787,"250",Hard,750000,0,0,0
gb88,747,"500",Hard,3720165,0,0,0
gb88,7581,"250",Hard,1171655,0,0,0
gb88,319,"250",Clay,579320,0,0,0
gb88,8994,"250",Grass,932135,0,0,0
gb88,500,"500",Grass,2255655,0,0,0
gb88,321,"250",Grass,734915,0,0,0
gb88,322,"250",Clay,579320,0,0,0
gb88,8996,"250",Clay,661585,0,0,0
gb88,6932,"500",Clay,2100230,0,0,0
gb88,506,"250",Clay,642615,0,0,0
gb88,9158,"250",Clay,562345,0,0,0
gb88,8998,"250",Hard,661585,0,0,0
gb88,339,"250",Hard,661585,0,0,0
gb88,337,"500",Hard,2470310,0,0,0
gb88,439,"250",Clay,579320,0,0,0
gb88,414,"500",Clay,1891995,0,0,0
gb88,425,"500",Clay,2782960,0,1,0
gb88,807,"500",Hard,2206080,0,0,0
gb88,418,"500",Hard,2100230,0,0,0
gb88,6116,"250",Hard,756020,0,0,0
gb88,717,"250",Clay,661585,0,0,0
gb88,429,"250",Hard,690135,0,0,0
gb88,741,"250",Grass,740160,0,0,0
gb88,4462,"250",Clay,579320,0,0,0
gb88,7480,"250",Hard,915245,0,0,0
gb88,499,"250",Hard,661585,0,0,0
gb88,311,"500",Grass,2255655,0,0,0
gb88,424,"250",Hard,756020,0,0,0
gb88,341,"250",Hard,579320,0,0,0
gb88,496,"250",Hard,724015,0,1,0
gb88,9410,"250",Hard,1036700,0,0,0
gb88,4713,"250",Hard,1000630,0,0,0
gb88,315,"250",Grass,661585,0,0,0
gb88,7694,"250",Clay,579320,0,1,0
gb88,360,"250",Clay,579320,0,0,0
gb88,316,"250",Clay,579320,0,0,0
gb88,375,"250",Hard,579320,0,0,0
kb05,328,"500",Hard,2385100,0,0,0
kb05,7485,"250",Hard,690135,0,0,0
kb05,329,"500",Hard,1818380,0,0,0
kb05,6242,"250",Hard,779780,0,0,0
kb05,314,"250",Clay,579320,0,0,0
kb05,440,"250",Grass,690135,0,0,0
kb05,308,"250",Clay,579320,0,0,0
kb05,7290,"250",Clay,579320,0,0,0
kb05,495,"500",Hard,2941785,0,1,0
kb05,451,"250",Hard,1395875,0,0,0
kb05,407,"500",Hard,2134985,0,0,0
kb05,301,"250",Hard,661585,0,0,0
kb05,336,"250",Hard,661585,0,0,0
kb05,4787,"250",Hard,750000,0,0,0
kb05,747,"500",Hard,3720165,0,0,0
kb05,7581,"250",Hard,1171655,0,0,0
kb05,319,"250",Clay,579320,0,0,0
kb05,8994,"250",Grass,932135,0,0,0
kb05,500,"500",Grass,2255655,0,0,0
kb05,321,"250",Grass,734915,0,0,0
kb05,322,"250",Clay,579320,0,1,0
kb05,8996,"250",Clay,661585,0,0,0
kb05,6932,"500",Clay,2100230,0,0,0
kb05,506,"250",Clay,642615,0,0,0
kb05,9158,"250",Clay,562345,0,0,0
kb05,8998,"250",Hard,661585,0,0,0
kb05,339,"250",Hard,661585,0,0,0
kb05,337,"500",Hard,2470310,0,0,0
kb05,439,"250",Clay,579320,0,0,0
kb05,414,"500",Clay,1891995,0,0,0
kb05,425,"500",Clay,2782960,0,0,0
kb05,807,"500",Hard,2206080,0,0,0
kb05,418,"500",Hard,2100230,0,0,0
kb05,6116,"250",Hard,756020,0,0,0
kb05,717,"250",Clay,661585,0,0,0
kb05,429,"250",Hard,690135,0,0,0
kb05,741,"250",Grass,740160,0,0,0
kb05,4462,"250",Clay,579320,0,0,0
kb05,7480,"250",Hard,915245,0,0,0
