Date,Location
30 Dec,"Hong Kong OpenHong KongSARATP 250Hard – $766,290 – 28S/16Q/16DSingles–Doubles"
30 Dec,"Brisbane InternationalBrisbane, AustraliaATP 250Hard – $680,140 – 32S/24Q/24DSingles–Doubles"
6 Jan,"Adelaide InternationalAdelaide, AustraliaATP 250Hard – $766,290 – 28S/16Q/24DSingles–Doubles"
6 Jan,"Auckland OpenAuckland, New ZealandATP 250Hard – $766,290 – 28S/16Q/16DSingles–Doubles"
27 Jan,"Open OccitanieMontpellier, FranceATP 250Hard (i) – €622,850 – 28S/16Q/16DSingles–Doubles"
3 Feb,"Dallas OpenDallas, United StatesATP 500Hard (i) – $3,035,960 – 32S/16Q/16DSingles–Doubles"
3 Feb,"Rotterdam OpenRotterdam, NetherlandsATP 500Hard (i) – €2,563,150 – 32S/16Q/16DSingles–Doubles"
10 Feb,"Delray Beach OpenDelray Beach, United StatesATP 250Hard – $710,735 – 28S/16Q/16DSingles–Doubles"
10 Feb,"Open 13Marseille, FranceATP 250Hard (i) – €767,545 – 28S/16Q/16DSingles–Doubles"
10 Feb,"Argentina OpenBuenos Aires, ArgentinaATP 250Clay (red) – $688,985 – 28S/16Q/16DSingles–Doubles"
17 Feb,"Qatar OpenDoha, QatarATP 500Hard – $3,035,960 – 32S/16Q/16DSingles–Doubles"
17 Feb,"Rio OpenRio de Janeiro, BrazilATP 500Clay (red) – $2,574,145 – 32S/16Q/16DSingles–Doubles"
24 Feb,"Dubai Tennis ChampionshipsDubai, United Arab EmiratesATP 500Hard – $3,415,700 – 32S/16Q/16DSingles–Doubles"
24 Feb,"Mexican OpenAcapulco, MexicoATP 500Hard – $2,763,440 – 32S/16Q/16DSingles–Doubles"
24 Feb,"Chile OpenSantiago, ChileATP 250Clay (red) – $710,735 – 28S/16Q/16DSingles–Doubles"
31 Mar,"U.S. Men's Clay Court ChampionshipsHouston, United StatesATP 250Clay (maroon) – $710,735 – 28S/16Q/16DSingles–Doubles"
31 Mar,"Grand Prix Hassan IIMarrakesh, MoroccoATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
31 Mar,"Romanian OpenBucharest, RomaniaATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
14 Apr,"Barcelona OpenBarcelona, SpainATP 500Clay (red) – €3,050,800 – 32S/24Q/16DSingles–Doubles"
14 Apr,"Bavarian International Tennis ChampionshipsMunich, GermanyATP 500Clay (red) – €2,747,360 – 32S/16Q/16DSingles–Doubles"
19 May,"Hamburg OpenHamburg, GermanyATP 500Clay (red) – €2,320,160 – 32S/16Q/16DSingles–Doubles"
19 May,"Geneva OpenGeneva, SwitzerlandATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
9 Jun,"Stuttgart OpenStuttgart, GermanyATP 250Grass – €778,445 – 28S/16Q/16DSingles–Doubles"
9 Jun,"Rosmalen Grass Court Championships's-Hertogenbosch, NetherlandsATP 250Grass – €733,665 – 28S/16Q/16DSingles–Doubles"
16 Jun,"Halle OpenHalle, GermanyATP 500Grass – €2,683,820 – 32S/16Q/16DSingles–Doubles"
16 Jun,"Queen's Club ChampionshipsLondon, United KingdomATP 500Grass – €2,683,820 – 32S/16Q/16DSingles–Doubles"
23 Jun,"Mallorca ChampionshipsSanta Ponsa, SpainATP 250Grass – €622,850 – 28S/16Q/16DSingles–Doubles"
23 Jun,"Eastbourne OpenEastbourne, United KingdomATP 250Grass – €783,690 – 28S/16Q/16DSingles–Doubles"
14 Jul,"Los Cabos OpenLos Cabos, MexicoATP 250Hard – $920,480 – 28S/16Q/16DSingles–Doubles"
14 Jul,"Swedish OpenBåstad, SwedenATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
14 Jul,"Swiss OpenGstaad, SwitzerlandATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
21 Jul,"Washington OpenWashington, D.C., United StatesATP 500Hard – $2,574,145 – 48S/24Q/16DSingles–Doubles"
21 Jul,"Austrian OpenKitzbühel, AustriaATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
21 Jul,"Croatia OpenUmag, CroatiaATP 250Clay (red) – €622,850 – 28S/16Q/16DSingles–Doubles"
