PlayerCode,EventId,PointsGained,iscritto,year,date_tournament,EventName,EventType,EventCountry,Surface,TotPrizeMoney,Same_Nationality
mv14,319,45,1,2023,2023-07-31,Kitzbuhel,250,Austria,Clay,562815,0
mv14,414,0,1,2023,2023-07-24,Hamburg,500,Germany,Clay,1831515,0
mv14,316,0,1,2023,2023-07-17,Bastad,250,Sweden,Clay,562815,0
mv14,2841,90,1,2023,2023-04-17,Banja Luka,250,Bosnia & Herzegovina,Clay,562815,0
mv14,807,0,1,2023,2023-02-27,Acapulco,500,Mexico,Hard,2013940,0
mv14,6932,45,1,2023,2023-02-20,Rio de Janeiro,500,Brazil,Clay,2013940,0
mv14,506,0,1,2023,2023-02-13,Buenos Aires,250,Argentina,Clay,626595,0
mv14,301,0,1,2023,2023-01-09,Auckland,250,New Zealand,Hard,642735,0
mv14,891,0,1,2023,2023-01-02,Pune,250,India,Hard,642735,0
mv14,9410,0,0,2023,2023-09-25,Astana,250,Kazakhstan,Hard,1017850,0
mv14,7581,0,0,2023,2023-09-18,Chengdu,250,China,Hard,1152805,0
mv14,418,0,0,2023,2023-07-31,Washington,500,"DC, U.S.A.",Hard,2013940,0
mv14,6116,0,0,2023,2023-07-24,Atlanta,250,"GA, U.S.A.",Hard,737170,0
mv14,315,0,0,2023,2023-07-17,Newport,250,"RI, U.S.A.",Grass,642735,0
mv14,8994,0,0,2023,2023-06-26,Mallorca,250,Spain,Grass,915630,0
mv14,500,0,0,2023,2023-06-19,Halle,500,Germany,Grass,2195175,0
mv14,321,0,0,2023,2023-06-12,Stuttgart,250,Germany,Grass,718410,0
mv14,7694,0,0,2023,2023-05-22,Lyon,250,France,Clay,562815,0
mv14,337,0,0,2023,2023-10-23,Vienna,500,Austria,Hard,2409835,0
mv14,429,0,0,2023,2023-10-16,Stockholm,250,Sweden,Hard,673630,0
mv14,7485,0,0,2023,2023-10-16,Antwerp,250,Belgium,Hard,673630,0
mv14,440,0,0,2023,2023-06-12,'s-Hertogenbosch,250,Netherlands,Grass,673630,0
mv14,425,0,0,2023,2023-04-17,Barcelona,500,Spain,Clay,2722480,0
mv14,496,0,0,2023,2023-02-20,Marseille,250,France,Hard,707510,0
mv14,407,0,0,2023,2023-02-13,Rotterdam,500,Netherlands,Hard,2074505,0
mv14,322,0,0,2023,2023-05-22,Geneva,250,Switzerland,Clay,562815,0
mv14,495,0,0,2023,2023-02-27,Dubai,500,U.A.E.,Hard,2855495,0
mv14,375,0,0,2023,2023-02-06,Montpellier,250,France,Hard,562815,0
mv14,341,0,0,2023,2023-11-06,Metz,250,France,Hard,562815,0
mv14,328,0,0,2023,2023-10-23,Basel,500,Switzerland,Hard,2196000,0
mv14,314,0,0,2023,2023-07-17,Gstaad,250,Switzerland,Clay,562815,0
mv14,7290,0,0,2023,2023-04-03,Estoril,250,Portugal,Clay,562815,0
mv14,8996,0,0,2023,2023-02-27,Santiago,250,Chile,Clay,642735,0
mv14,7434,0,0,2023,2023-11-06,Sofia,250,Bulgaria,Hard,562815,0
mv14,6242,0,0,2023,2023-08-21,Winston-Salem,250,"NC, U.S.A.",Hard,760930,0
mv14,439,0,0,2023,2023-07-24,Umag,250,Croatia,Clay,562815,0
