PlayerCode,EventId,PointsGained,iscritto,year,date_tournament,EventName,EventType,EventCountry,Surface,TotPrizeMoney,Same_Nationality
bd06,741,0,0,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
bd06,500,0,0,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
bd06,360,0,0,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
bd06,496,0,0,2025,2025-02-10,Marseille,250,France,Hard,740730,0
bd06,5100,0,0,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
bd06,322,0,0,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
bd06,499,0,0,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
bd06,424,0,0,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
bd06,6932,0,0,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
bd06,506,0,0,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
bd06,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
bd06,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
bd06,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
bd06,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
bd06,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,1
bd06,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
bd06,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
bd06,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
bd06,316,0,0,2025,2025-07-14,Bastad,250,Sweden,Clay,596035,0
mc65,747,0,0,2025,2025-09-22,Beijing,500,China,Hard,4016050,0
mc65,7581,0,1,2025,2025-09-15,Chengdu,250,China,Hard,1190210,0
mc65,336,0,0,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
mc65,6242,0,0,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
mc65,319,0,0,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
mc65,8994,0,0,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,0
mc65,311,0,1,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
mc65,440,0,0,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
mc65,414,0,1,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
mc65,308,0,0,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
mc65,4462,0,0,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
mc65,495,0,1,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
